metric-rate,min_value,max_value,mean_value,std,trend,p-value
retention_rate,0.41935483870967744,0.7798165137614679,0.6716423280078596,0.09729910659439153,no trend,0.23495478370334322
core2peripheral_rate,0.12844036697247707,0.27419354838709675,0.19102389310822146,0.04923632879137427,no trend,0.37305311625145254
dropout_rate,0.01694915254237288,0.1935483870967742,0.08681585407969152,0.04850532509557789,no trend,0.9211586502250249
inflow_rate,0.1864406779661017,0.45652173913043476,0.29777796479133295,0.0858419852461973,decreasing,0.022821503671488053
ratio_peri_core,2.055045871559633,5.838709677419355,3.1070323854100375,1.0385793632148532,decreasing,0.022821503671488053
ratio_active_dev,2.2657004830917873,3.925311203319502,2.92396520332653,0.4263774564599744,no trend,0.11328720822235328
