version,active_users,core_developers,peripheral_developers,retention rate,inflow rate,dropout rate,core-to-peri rate,ratio p-c,ratio a-d,stars
2016-09,3,5,8,0,0,0,0,1.6,0.23076923076923078,4
2016-10,10,5,10,0.8,0.2,0.0,0.2,2.0,0.6666666666666666,6
2016-11,8,10,33,1.0,0.4,0.0,0.0,3.3,0.18604651162790697,9
2016-12,10,10,35,0.6,0.4,0.0,0.2,3.5,0.2222222222222222,17
2017-01,75,16,45,1.0,0.375,0.0,0.0,2.8125,1.2295081967213115,20
2017-02,83,46,46,0.8125,0.6739130434782609,0.0,0.0625,1.0,0.9021739130434783,2462
2017-03,109,46,65,0.5652173913043478,0.41304347826086957,0.13043478260869565,0.1956521739130435,1.4130434782608696,0.9819819819819819,3113
2017-04,115,39,63,0.4782608695652174,0.3333333333333333,0.10869565217391304,0.2391304347826087,1.6153846153846154,1.1274509803921569,3643
2017-05,127,41,60,0.5641025641025641,0.3170731707317073,0.10256410256410256,0.2564102564102564,1.4634146341463414,1.2574257425742574,4172
2017-06,114,35,71,0.5121951219512195,0.2857142857142857,0.14634146341463414,0.2682926829268293,2.0285714285714285,1.0754716981132075,4703
2017-07,129,34,62,0.5142857142857142,0.35294117647058826,0.14285714285714285,0.2857142857142857,1.8235294117647058,1.34375,5045
2017-08,152,43,77,0.5294117647058824,0.32558139534883723,0.14705882352941177,0.23529411764705882,1.7906976744186047,1.2666666666666666,5431
2017-09,150,32,65,0.5116279069767442,0.1875,0.16279069767441862,0.18604651162790697,2.03125,1.5463917525773196,6268
2017-10,176,32,70,0.5625,0.1875,0.09375,0.21875,2.1875,1.7254901960784315,6853
2017-11,199,35,64,0.625,0.22857142857142856,0.0,0.25,1.8285714285714285,2.01010101010101,7821
2017-12,197,25,47,0.4857142857142857,0.24,0.11428571428571428,0.22857142857142856,1.88,2.736111111111111,8726
2018-01,193,42,55,0.84,0.30952380952380953,0.04,0.08,1.3095238095238095,1.9896907216494846,9683
2018-02,161,36,55,0.5476190476190477,0.16666666666666666,0.07142857142857142,0.21428571428571427,1.5277777777777777,1.7692307692307692,10832
2018-03,232,34,70,0.6666666666666666,0.11764705882352941,0.027777777777777776,0.1388888888888889,2.0588235294117645,2.230769230769231,11447
2018-04,298,35,62,0.7352941176470589,0.2,0.058823529411764705,0.17647058823529413,1.7714285714285714,3.0721649484536084,12287
2018-05,303,36,60,0.7714285714285715,0.19444444444444445,0.0,0.14285714285714285,1.6666666666666667,3.15625,13310
2018-06,277,37,51,0.75,0.10810810810810811,0.1111111111111111,0.1111111111111111,1.3783783783783783,3.147727272727273,14579
2018-07,286,55,67,0.8378378378378378,0.2545454545454545,0.05405405405405406,0.02702702702702703,1.2181818181818183,2.3442622950819674,15298
2018-08,317,51,78,0.6363636363636364,0.1568627450980392,0.05454545454545454,0.12727272727272726,1.5294117647058822,2.4573643410852712,15998
2018-09,243,46,69,0.6470588235294118,0.08695652173913043,0.058823529411764705,0.21568627450980393,1.5,2.1130434782608694,16760
2018-10,334,47,99,0.717391304347826,0.14893617021276595,0.0,0.17391304347826086,2.106382978723404,2.287671232876712,17637
2018-11,335,43,85,0.6808510638297872,0.16279069767441862,0.06382978723404255,0.14893617021276595,1.9767441860465116,2.6171875,19000
2018-12,344,50,75,0.7906976744186046,0.16,0.0,0.06976744186046512,1.5,2.752,20085
2019-01,319,47,82,0.68,0.1276595744680851,0.1,0.14,1.7446808510638299,2.4728682170542635,21519
2019-02,290,58,70,0.6808510638297872,0.3793103448275862,0.10638297872340426,0.10638297872340426,1.206896551724138,2.265625,22547
2019-03,326,55,79,0.6379310344827587,0.21818181818181817,0.10344827586206896,0.15517241379310345,1.4363636363636363,2.4328358208955225,23405
2019-04,325,47,82,0.6181818181818182,0.10638297872340426,0.07272727272727272,0.18181818181818182,1.7446808510638299,2.5193798449612403,24502
2019-05,364,64,86,0.7872340425531915,0.125,0.06382978723404255,0.0851063829787234,1.34375,2.4266666666666667,25575
2019-06,322,53,90,0.703125,0.07547169811320754,0.03125,0.1875,1.6981132075471699,2.2517482517482517,26603
2019-07,374,54,74,0.6981132075471698,0.12962962962962962,0.03773584905660377,0.16981132075471697,1.3703703703703705,2.921875,27501
