version,active_users,core_developers,peripheral_developers,retention rate,inflow rate,dropout rate,core-to-peri rate,ratio p-c,ratio a-d,stars
2016-09,3,5,9,0.0,0.0,0.0,0.0,1.8,0.2142857142857142,4
2016-10,9,6,10,1.0,0.1666666666666666,0.0,0.0,1.6666666666666667,0.5625,6
2016-11,8,10,36,1.0,0.4,0.0,0.0,3.6,0.1739130434782608,9
2016-12,9,10,39,0.6,0.4,0.0,0.2,3.9,0.1836734693877551,17
2017-01,73,18,50,1.0,0.4444444444444444,0.0,0.0,2.7777777777777777,1.0735294117647058,20
2017-02,83,47,50,0.7777777777777778,0.6595744680851063,0.0555555555555555,0.0555555555555555,1.0638297872340423,0.8556701030927835,2467
2017-03,105,49,68,0.5957446808510638,0.4081632653061224,0.0851063829787234,0.2127659574468085,1.3877551020408163,0.8974358974358975,3100
2017-04,112,42,67,0.5306122448979592,0.2857142857142857,0.0612244897959183,0.2448979591836734,1.5952380952380951,1.0275229357798166,3636
2017-05,124,45,61,0.5476190476190477,0.3777777777777777,0.0952380952380952,0.2619047619047619,1.3555555555555556,1.169811320754717,4144
2017-06,114,37,73,0.4222222222222222,0.2972972972972973,0.1777777777777777,0.3111111111111111,1.972972972972973,1.0363636363636364,4690
2017-07,129,34,67,0.4864864864864865,0.3235294117647059,0.1081081081081081,0.2972972972972973,1.9705882352941175,1.2772277227722773,5057
2017-08,150,47,76,0.5588235294117647,0.2978723404255319,0.1470588235294117,0.1764705882352941,1.6170212765957446,1.2195121951219512,5440
2017-09,148,36,67,0.5106382978723404,0.25,0.1276595744680851,0.2127659574468085,1.8611111111111112,1.4368932038834952,6270
2017-10,170,36,73,0.5833333333333334,0.1666666666666666,0.1111111111111111,0.2222222222222222,2.0277777777777777,1.5596330275229358,6878
2017-11,197,38,67,0.6388888888888888,0.2105263157894736,0.0,0.25,1.763157894736842,1.876190476190476,7800
2017-12,201,28,48,0.5,0.2142857142857142,0.1052631578947368,0.2105263157894736,1.7142857142857142,2.6447368421052637,8725
2018-01,191,44,58,0.75,0.3181818181818182,0.0357142857142857,0.1428571428571428,1.318181818181818,1.8725490196078431,9721
2018-02,158,40,59,0.5,0.2,0.0681818181818181,0.25,1.475,1.595959595959596,10812
2018-03,228,40,79,0.675,0.1,0.05,0.175,1.975,1.915966386554622,11440
2018-04,295,38,63,0.7,0.1578947368421052,0.05,0.175,1.6578947368421053,2.9207920792079207,12202
2018-05,300,38,62,0.7894736842105263,0.1842105263157894,0.0,0.131578947368421,1.631578947368421,3.0,13360
2018-06,277,38,53,0.7631578947368421,0.1052631578947368,0.0789473684210526,0.131578947368421,1.394736842105263,3.043956043956044,14605
2018-07,288,61,67,0.868421052631579,0.2622950819672131,0.0263157894736842,0.0263157894736842,1.098360655737705,2.25,15324
2018-08,314,55,81,0.639344262295082,0.1636363636363636,0.0655737704918032,0.1147540983606557,1.4727272727272729,2.3088235294117645,16053
2018-09,240,49,71,0.6545454545454545,0.1020408163265306,0.0545454545454545,0.1818181818181818,1.4489795918367347,2.0,16799
2018-10,335,50,101,0.7142857142857143,0.14,0.0,0.1632653061224489,2.02,2.218543046357616,17610
2018-11,336,46,86,0.62,0.1956521739130435,0.06,0.2,1.8695652173913044,2.5454545454545454,19027
2018-12,326,55,74,0.7608695652173914,0.1272727272727272,0.0,0.0869565217391304,1.3454545454545457,2.5271317829457365,20114
2019-01,299,48,85,0.6727272727272727,0.1041666666666666,0.0909090909090909,0.1454545454545454,1.7708333333333333,2.2481203007518795,21552
2019-02,256,61,72,0.75,0.2950819672131147,0.0625,0.0833333333333333,1.180327868852459,1.924812030075188,22561
2019-03,286,56,83,0.6557377049180327,0.1964285714285714,0.081967213114754,0.1475409836065573,1.4821428571428572,2.0575539568345325,23422
2019-04,305,51,84,0.6428571428571429,0.1176470588235294,0.1071428571428571,0.1607142857142857,1.6470588235294117,2.259259259259259,24540
2019-05,353,69,85,0.8627450980392157,0.1014492753623188,0.0392156862745098,0.0392156862745098,1.2318840579710144,2.292207792207792,25601
2019-06,313,58,90,0.7391304347826086,0.0517241379310344,0.0289855072463768,0.1159420289855072,1.5517241379310345,2.114864864864865,26664
2019-07,362,57,75,0.7413793103448276,0.087719298245614,0.0172413793103448,0.1206896551724138,1.3157894736842106,2.742424242424242,27574
2019-08,411,49,97,0.5964912280701754,0.1836734693877551,0.0526315789473684,0.2280701754385964,1.9795918367346936,2.815068493150685,28497
2019-09,328,47,86,0.673469387755102,0.1063829787234042,0.0612244897959183,0.1836734693877551,1.8297872340425527,2.4661654135338344,29322
2019-10,378,70,92,0.7659574468085106,0.2714285714285714,0.0212765957446808,0.1702127659574468,1.3142857142857145,2.333333333333333,30102
2019-11,381,64,77,0.7142857142857143,0.03125,0.0285714285714285,0.2142857142857142,1.203125,2.702127659574468,31318
2019-12,387,56,53,0.6875,0.1071428571428571,0.0625,0.125,0.9464285714285714,3.55045871559633,32160
2020-01,386,66,73,0.7321428571428571,0.1666666666666666,0.0178571428571428,0.1071428571428571,1.106060606060606,2.776978417266187,33041
2020-02,301,81,85,0.7424242424242424,0.1604938271604938,0.0606060606060606,0.1363636363636363,1.0493827160493827,1.813253012048193,33716
2020-03,377,65,108,0.6296296296296297,0.0923076923076923,0.0493827160493827,0.1728395061728395,1.6615384615384616,2.179190751445087,34497
2020-04,450,78,113,0.7538461538461538,0.1538461538461538,0.0153846153846153,0.1538461538461538,1.448717948717949,2.356020942408377,35408
2020-05,394,66,92,0.5897435897435898,0.1818181818181818,0.0512820512820512,0.1923076923076923,1.393939393939394,2.4936708860759493,36295
