metric-rate,min_value,max_value,mean_value,std,trend,p-value
retention_rate,0.41139240506329117,0.6666666666666666,0.5492462942629149,0.07037735497583229,increasing,0.03580506484519108
core2peripheral_rate,0.07142857142857142,0.24087591240875914,0.15799116318735357,0.052436899967243586,increasing,2.6896353325200906e-05
dropout_rate,0.09770114942528736,0.3877551020408163,0.22518028470234364,0.08051261496459533,decreasing,0.0010067137346150279
inflow_rate,0.14615384615384616,0.7051282051282052,0.3897929168680707,0.15318729392606975,decreasing,3.872781565439354e-06
ratio_peri_core,0.9953703703703703,1.8851674641148326,1.5170200457690368,0.2420766912461854,decreasing,0.04244167627001105
ratio_active_dev,2.215625,4.882255389718076,3.6540055310178268,0.727333970299106,decreasing,0.020940933673740725
